,회사명,상장번호
280,대한방직,001070
281,대한유화,006650
282,대한전선,001440
283,대한제강,084010
284,대한제당,001790
285,대한제당우,001795
286,대한제분,001130
287,대한항공,003490
288,대한항공우,003495
289,대한해운,005880
290,대한화섬,003830
291,대현,016090
292,대호에이엘,069460
293,더블유게임즈,192080
294,더존비즈온,012510
295,덕성,004830
296,덕성우,004835
297,덕양산업,024900
298,덴티움,145720
299,도화엔지니어링,002150
300,동국제강,001230
301,동남합성,023450
302,동방,004140
303,동방아그로,007590
304,동부건설,005960
305,동부건설우,005965
306,동서,026960
307,동성제약,002210
308,동성케미컬,102260
309,동아쏘시오홀딩스,000640
310,동아에스티,170900
311,동아지질,028100
312,동아타이어,282690
313,동양,001520
314,동양2우B,001527
315,동양고속,084670
316,동양생명,082640
317,동양우,001525
318,동양철관,008970
319,동양피스톤,092780
320,동원F&B,049770
321,동원금속,018500
322,동원산업,006040
323,동원수산,030720
324,동원시스템즈,014820
325,동원시스템즈우,014825
326,동일고무벨트,163560
327,동일산업,004890
328,동일제강,002690
329,동화약품,000020
330,두산,000150
331,두산2우B,000157
332,두산밥캣,241560
333,두산에너빌리티,034020
334,두산우,000155
335,두산퓨얼셀,336260
336,두산퓨얼셀1우,33626K
337,두산퓨얼셀2우B,33626L
338,두올,016740
339,드림텍,192650
340,디씨엠,024090
341,디아이,003160
342,디아이씨,092200
343,디앤디플랫폼리츠,377190
344,디와이,013570
345,디와이파워,210540
346,락앤락,115390
347,롯데관광개발,032350
348,롯데렌탈,089860
349,롯데리츠,330590
350,롯데손해보험,000400
351,롯데쇼핑,023530
352,롯데정밀화학,004000
353,롯데정보통신,286940
354,롯데제과,280360
355,롯데지주,004990
356,롯데지주우,00499K
357,롯데칠성,005300
358,롯데칠성우,005305
359,롯데케미칼,011170
360,롯데하이마트,071840
361,마니커,027740
362,마스턴프리미어리츠,357430
363,만호제강,001080
364,맥쿼리인프라,088980
365,맵스리얼티1,094800
366,메리츠금융지주,138040
367,메리츠증권,008560
368,메리츠화재,000060
369,메타랩스,090370
370,명문제약,017180
371,명신산업,009900
372,모나리자,012690
373,모나미,005360
374,모두투어리츠,204210
375,모토닉,009680
376,무림P&P,009580
377,무림페이퍼,009200
378,무학,033920
379,문배철강,008420
380,미래산업,025560
381,미래아이앤지,007120
382,미래에셋글로벌리츠,396690
383,미래에셋맵스리츠,357250
384,미래에셋생명,085620
385,미래에셋증권,006800
386,미래에셋증권2우B,00680K
387,미래에셋증권우,006805
388,미원상사,002840
389,미원에스씨,268280
390,미원홀딩스,107590
391,미원화학,134380
392,미창석유,003650
393,바다로19호,155900
394,바이오노트,377740
395,방림,003610
396,백광산업,001340
397,백산,035150
398,범양건영,002410
399,벽산,007210
400,보락,002760
401,보령,003850
402,보해양조,000890
403,부광약품,003000
404,부국증권,001270
405,부국증권우,001275
406,부국철강,026940
407,부산산업,011390
408,부산주공,005030
409,비비안,002070
410,비상교육,100220
411,비케이탑스,030790
412,빙그레,005180
413,사조대림,003960
414,사조동아원,008040
415,사조산업,007160
416,사조씨푸드,014710
417,사조오양,006090
418,삼부토건,001470
419,삼성SDI,006400
420,삼성SDI우,006405
421,삼성공조,006660
422,삼성물산,028260
423,삼성물산우B,02826K
424,삼성바이오로직스,207940
425,삼성생명,032830
426,삼성에스디에스,018260
427,삼성엔지니어링,028050
428,삼성전기,009150
429,삼성전기우,009155
430,삼성전자,005930
431,삼성전자우,005935
432,삼성제약,001360
433,삼성중공업,010140
434,삼성중공우,010145
435,삼성증권,016360
436,삼성출판사,068290
437,삼성카드,029780
438,삼성화재,000810
439,삼성화재우,000815
440,삼아알미늄,006110
441,삼양사,145990
442,삼양사우,145995
443,삼양식품,003230
444,삼양통상,002170
445,삼양패키징,272550
446,삼양홀딩스,000070
447,삼양홀딩스우,000075
448,삼영무역,002810
449,삼영전자,005680
450,삼영화학,003720
451,삼원강재,023000
452,삼익THK,004380
453,삼익악기,002450
454,삼일씨엔에스,004440
455,삼일제약,000520
456,삼정펄프,009770
457,삼진제약,005500
458,삼천리,004690
459,삼호개발,010960
460,삼화왕관,004450
461,삼화전기,009470
462,삼화전자,011230
463,삼화콘덴서,001820
464,삼화페인트,000390
465,상상인증권,001290
466,상신브레이크,041650
467,새론오토모티브,075180
468,샘표,007540
469,샘표식품,248170
470,서연,007860
471,서연이화,200880
472,서울가스,017390
473,서울식품,004410
474,서울식품우,004415
475,서원,021050
476,서흥,008490
477,선도전기,007610
478,선진,136490
479,성문전자,014910
480,성문전자우,014915
481,성보화학,003080
482,성신양회,004980
483,성신양회우,004985
484,성안,011300
485,성창기업지주,000180
486,세기상사,002420
487,세방,004360
488,세방우,004365
489,세방전지,004490
490,세아베스틸지주,001430
491,세아제강,306200
492,세아제강지주,003030
493,세아특수강,019440
494,세아홀딩스,058650
495,세우글로벌,013000
496,세원이앤씨,091090
497,세원정공,021820
498,세이브존I&C,067830
499,세종공업,033530
500,세진중공업,075580
501,세하,027970
502,센트랄모텍,308170
503,센트럴인사이트,012600
504,셀트리온,068270
505,솔루스첨단소재,336370
506,솔루스첨단소재1우,33637K
507,솔루스첨단소재2우B,33637L
508,솔루엠,248070
509,송원산업,004430
510,수산인더스트리,126720
511,수산중공업,017550
512,스카이라이프,053210
513,스틱인베스트먼트,026890
514,시디즈,134790
515,신대양제지,016590
516,신도리코,029530
517,신라교역,004970
518,신성이엔지,011930
519,신성통상,005390
520,신세계,004170
521,신세계 I&C,035510
522,신세계건설,034300
523,신세계인터내셔날,031430
524,신세계푸드,031440
525,신송홀딩스,006880
526,신영와코루,005800
527,신영증권,001720
528,신영증권우,001725
529,신원,009270
530,신일전자,002700
531,신풍,002870
532,신풍제약,019170
533,신풍제약우,019175
534,신한서부티엔디리츠,404990
535,신한알파리츠,293940
536,신한지주,055550
537,신흥,004080
538,쌍방울,102280
539,쌍용C&E,003410
540,쌍용차,003620
541,써니전자,004770
542,쎌마테라퓨틱스,015540
543,쏘카,403550
544,씨아이테크,004920
545,씨에스윈드,112610
546,아남전자,008700
547,아모레G,002790
548,아모레G3우(전환),00279K
549,아모레G우,002795
550,아모레퍼시픽,090430
551,아모레퍼시픽우,090435
552,아세아,002030
553,아세아시멘트,183190
554,아세아제지,002310
555,아센디오,012170
556,아시아나IDT,267850
557,아시아나항공,020560
558,아이마켓코리아,122900
559,아이에스동서,010780
560,아주스틸,139990
561,알루코,001780
562,애경산업,018250
563,애경케미칼,161000
564,에넥스,011090
565,에스디바이오센서,137310
566,에스엘,005850
567,에스엠벡셀,010580
568,에스원,012750
569,에쓰씨엔지니어링,023960
570,에어부산,298690
571,에이리츠,140910
572,에이블씨엔씨,078520
573,에이엔피,015260
574,에이프로젠,007460
575,에이프로젠바이오로직스,003060
576,에이플러스에셋,244920
577,엔씨소프트,036570
578,엔에이치스팩19호,380440
579,엔케이,085310
580,엘브이엠씨홀딩스,900140
581,엠씨넥스,097520
582,영보화학,014440
583,영원무역,111770
584,영원무역홀딩스,009970
585,영진약품,003520
586,영풍,000670
587,영풍제지,006740
588,영화금속,012280
589,영흥,012160
590,예스코홀딩스,015360
591,오뚜기,007310
592,오리엔트바이오,002630
593,오리온,271560
594,오리온홀딩스,001800
595,와이투솔루션,011690
596,용평리조트,070960
597,우리금융지주,316140
598,우리종금,010050
599,우성,006980
600,우신시스템,017370
601,우진,105840
602,우진아이엔에스,010400
603,우진플라임,049800
604,웅진,016880
605,웅진씽크빅,095720
606,원림,005820
607,웰바이오텍,010600
608,윌비스,008600
609,유나이티드제약,033270
610,유니드,014830
611,유니드비티플러스,446070
612,유니온,000910
613,유니온머티리얼,047400
614,유니켐,011330
615,유니퀘스트,077500
616,유성기업,002920
617,유수홀딩스,000700
618,유안타증권,003470
619,유안타증권우,003475
620,유엔젤,072130
621,유유제약,000220
622,유유제약1우,000225
623,유유제약2우B,000227
624,유진투자증권,001200
625,유한양행,000100
626,유한양행우,000105
627,유화증권,003460
628,유화증권우,003465
629,율촌화학,008730
630,이건산업,008250
631,이구산업,025820
632,이노션,214320
633,이리츠코크렙,088260
634,이마트,139480
635,이수페타시스,007660
636,이수화학,005950
637,이스타코,015020
638,이아이디,093230
639,이엔플러스,074610
640,이연제약,102460
641,이월드,084680
642,이지스레지던스리츠,350520
643,이지스밸류리츠,334890
644,이화산업,000760
645,인디에프,014990
646,인바이오젠,101140
647,인스코비,006490
648,인지컨트롤스,023800
649,인천도시가스,034590
650,인터지스,129260
651,인팩,023810
652,일동제약,249420
653,일동홀딩스,000230
654,일성건설,013360
655,일성신약,003120
656,일신방직,003200
657,일신석재,007110
658,일양약품,007570
659,일양약품우,007575
660,일정실업,008500
661,일진다이아,081000
662,일진디스플,020760
663,일진머티리얼즈,020150
664,일진전기,103590
665,일진하이솔루스,271940
666,일진홀딩스,015860
667,잇츠한불,226320
668,자이에스앤디,317400
669,자화전자,033240
670,전방,000950
671,제이알글로벌리츠,348950
672,제이에스코퍼레이션,194370
673,제이준코스메틱,025620
674,제일기획,030000
675,제일약품,271980
676,제일연마,001560
677,제일파마홀딩스,002620
678,제주은행,006220
679,제주항공,089590
680,조광페인트,004910
681,조광피혁,004700
682,조비,001550
683,조선내화,000480
684,조선선재,120030
685,조일알미늄,018470
686,조흥,002600
687,종근당,185750
688,종근당바이오,063160
689,종근당홀딩스,001630
690,주연테크,044380
691,지누스,013890
692,지엠비코리아,013870
693,지역난방공사,071320
694,지투알,035000
695,진도,088790
696,진양산업,003780
697,진양폴리,010640
698,진양홀딩스,100250
699,진양화학,051630
700,진에어,272450
701,진원생명과학,011000
702,진흥기업,002780
703,진흥기업2우B,002787
704,진흥기업우B,002785
705,참엔지니어링,009310
706,천일고속,000650
707,체시스,033250
708,초록뱀헬스케어,118000
709,카카오,035720
710,카카오뱅크,323410
711,카카오페이,377300
712,카프로,006380
713,컨버즈,109070
714,케이비아이동국실업,001620
715,케이씨,029460
716,케이씨텍,281820
717,케이카,381970
718,케이탑리츠,145270
719,코람코더원리츠,417310
720,코람코에너지리츠,357120
721,코리아써우,007815
722,코리아써키트,007810
723,코리아써키트2우B,00781K
724,코리안리,003690
725,코스맥스,192820
726,코스맥스비티아이,044820
727,코스모신소재,005070
728,코스모화학,005420
729,코아스,071950
730,코오롱,002020
731,코오롱글로벌,003070
732,코오롱글로벌우,003075
733,코오롱모빌리티그룹,450140
734,코오롱모빌리티그룹우,45014K
735,코오롱우,002025
736,코오롱인더,120110
737,코오롱인더우,120115
738,코오롱플라스틱,138490
739,코웨이,021240
740,콘텐트리중앙,036420
741,콤텍시스템,031820
742,쿠쿠홀딩스,192400
743,쿠쿠홈시스,284740
744,큐로,015590
745,크라운제과,264900
746,크라운제과우,26490K
747,크라운해태홀딩스,005740
748,크라운해태홀딩스우,005745
749,크래프톤,259960
750,키다리스튜디오,020120
751,키움증권,039490
752,태경비케이,014580
753,태경산업,015890
754,태경케미컬,006890
755,태광산업,003240
756,태림포장,011280
757,태양금속,004100
758,태양금속우,004105
759,태영건설,009410
760,태영건설우,009415
761,태원물산,001420
762,태평양물산,007980
763,테이팩스,055490
764,텔코웨어,078000
765,토니모리,214420
766,티에이치엔,019180
767,티와이홀딩스,363280
768,티와이홀딩스우,36328K
769,티웨이항공,091810
770,티웨이홀딩스,004870
771,파미셀,005690
772,팜스코,036580
773,팜젠사이언스,004720
774,팬오션,028670
775,퍼스텍,010820
776,퍼시스,016800
777,페이퍼코리아,001020
778,평화산업,090080
779,평화홀딩스,010770
780,포스코스틸리온,058430
781,포스코인터내셔널,047050
782,포스코케미칼,003670
783,풀무원,017810
784,풍산,103140
785,풍산홀딩스,005810
786,프레스티지바이오파마,950210
787,플레이그램,009810
788,하나금융지주,086790
789,하나제약,293480
790,하나투어,039130
791,하이브,352820
792,하이스틸,071090
793,하이트론,019490
794,하이트진로,000080
795,하이트진로2우B,000087
796,하이트진로홀딩스,000140
797,하이트진로홀딩스우,000145
798,한국ANKOR유전,152550
799,한국가스공사,036460
800,한국공항,005430
801,한국금융지주,071050
802,한국금융지주우,071055
803,한국내화,010040
804,한국단자,025540
805,한국석유,004090
806,한국수출포장,002200
807,한국쉘석유,002960
808,한국앤컴퍼니,000240
809,한국자산신탁,123890
810,한국전력,015760
811,한국전자홀딩스,006200
812,한국조선해양,009540
813,한국종합기술,023350
814,한국주강,025890
815,한국주철관,000970
816,한국철강,104700
817,한국카본,017960
818,한국콜마,161890
819,한국콜마홀딩스,024720
820,한국타이어앤테크놀로지,161390
821,한국토지신탁,034830
822,한국특강,007280
823,한국패러랠,168490
824,한국프랜지,010100
825,한국항공우주,047810
826,한국화장품,123690
827,한국화장품제조,003350
828,한농화성,011500
829,한독,002390
830,한미글로벌,053690
831,한미반도체,042700
832,한미사이언스,008930
833,한미약품,128940
834,한샘,009240
835,한섬,020000
836,한성기업,003680
837,한세실업,105630
838,한세엠케이,069640
839,한세예스24홀딩스,016450
840,한솔PNS,010420
841,한솔로지스틱스,009180
842,한솔제지,213500
843,한솔케미칼,014680
844,한솔테크닉스,004710
845,한솔홀딩스,004150
846,한솔홈데코,025750
847,한신공영,004960
848,한신기계,011700
849,한양증권,001750
850,한양증권우,001755
851,한온시스템,018880
852,한올바이오파마,009420
853,한익스프레스,014130
854,한일시멘트,300720
855,한일철강,002220
856,한일현대시멘트,006390
857,한일홀딩스,003300
858,한전KPS,051600
859,한전기술,052690
860,한전산업,130660
861,한진,002320
862,한진중공업홀딩스,003480
863,한진칼,180640
864,한진칼우,18064K
865,한창,005110
866,한창제지,009460
867,한컴라이프케어,372910
868,한화,000880
869,한화3우B,00088K
870,한화생명,088350
871,한화손해보험,000370
872,한화솔루션,009830
873,한화솔루션우,009835
874,한화시스템,272210
875,한화에어로스페이스,012450
876,한화우,000885
877,한화투자증권,003530
878,한화투자증권우,003535
879,해성디에스,195870
880,해태제과식품,101530
881,핸즈코퍼레이션,143210
882,현대건설,000720
883,현대건설기계,267270
884,현대건설우,000725
885,현대그린푸드,005440
886,현대글로비스,086280
887,현대두산인프라코어,042670
888,현대로템,064350
889,현대리바트,079430
890,현대모비스,012330
891,현대미포조선,010620
892,현대백화점,069960
893,현대비앤지스틸,004560
894,현대비앤지스틸우,004565
895,현대약품,004310
896,현대에너지솔루션,322000
897,현대엘리베이,017800
898,현대오토에버,307950
899,현대위아,011210
900,현대일렉트릭,267260
901,현대제철,004020
902,현대중공업,329180
903,현대차,005380
904,현대차2우B,005387
905,현대차3우B,005389
906,현대차우,005385
907,현대차증권,001500
908,현대코퍼레이션,011760
909,현대코퍼레이션홀딩스,227840
910,현대퓨처넷,126560
911,현대해상,001450
912,현대홈쇼핑,057050
913,형지엘리트,093240
914,혜인,003010
915,호전실업,111110
916,호텔신라,008770
917,호텔신라우,008775
918,화성산업,002460
919,화승알앤에이,378850
920,화승엔터프라이즈,241590
921,화승인더,006060
922,화승코퍼레이션,013520
923,화신,010690
924,화인베스틸,133820
925,화천기계,010660
926,화천기공,000850
927,환인제약,016580
928,황금에스티,032560
929,효성,004800
930,효성ITX,094280
931,효성중공업,298040
932,효성첨단소재,298050
933,효성티앤씨,298020
934,효성화학,298000
935,후성,093370
936,휠라홀딩스,081660
937,휴니드,005870
938,휴비스,079980
939,휴스틸,005010
940,흥국화재,000540
941,흥국화재2우B,000547
942,흥국화재우,000545
943,흥아해운,003280
